review_id,dataset,analysis_key,analysis_name,k,yi,se,tau2,mean_year,mean_ctrl_risk,mean_total_n
CD000028,CD000028_pub4_data,"1|1|All-cause mortality|",All-cause mortality,13,0.901516,0.040315,0.004937,1987.0,0.183356,1994.769231
CD000028,CD000028_pub4_data,"1|2|Cause of cardiovascular mortality|Fatal CHD",Cause of cardiovascular mortality,10,0.754643,0.060709,0.000000,1988.222222,0.039573,2447.800000
CD000028,CD000028_pub4_data,"1|2|Cause of cardiovascular mortality|Fatal stroke",Cause of cardiovascular mortality,11,0.575552,0.081395,0.010719,1989.300000,0.022828,2342.090909
CD000028,CD000028_pub4_data,"1|3|Cardiovascular mortality and morbidity|",Cardiovascular mortality and morbidity,15,0.730033,0.042671,0.014011,1985.642857,0.232820,1783.133333
